numero_arrete,titre,date_publication,lien,pdf_url,is_circulation,contenu_preview,file_hash,date_scrape,pdf_s3_url,poids_pdf_ko
2024-00003,"Arrêté n°2024-00003 du 2 janvier 2024 modifiant provisoirement la circulation dans certaines voies à Paris 12ème,20ème et Saint-Mandé le 9 janvier 2024, à l'occasion des cérémonies d'hommage de l' attentat du 9 janvier 2015",02/01/2024,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2024_00003_02012024.pdf,True,"02/01/2024Arrêté n°2024-00003 du 2 janvier 2024 modifiant provisoirement la circulation dans certaines voies à Paris 12ème,20ème et Saint-Mandé le 9 janvier 2024, à l'occasion des cérémonies d'hommage",84b00035,2025-12-08T05:31:05.590708,s3://parisarretes/arretes/2025/2024-00003_84b00035.pdf,68.48
2024-00002,"Arrêté n°2024-00002 modifiant provisoirement la circulation dans certaines voies à Paris 11ème,12ème,20ème et Saint-Mandé le 7 janvier 2024 à l'occasion des cérémonies d'hommage des attentats du 7 janvier 2015",02/01/2024,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/ARRETE_PUBLICATION_2024_00002_2012024.pdf,True,"02/01/2024Arrêté n°2024-00002 modifiant provisoirement la circulation dans certaines voies à Paris 11ème,12ème,20ème et Saint-Mandé le 7 janvier 2024 à l'occasion des cérémonies d'hommage des attentat",c9dda1df,2025-12-08T05:31:05.591683,s3://parisarretes/arretes/2025/2024-00002_c9dda1df.pdf,819.58
2023-01606,Arrêté n°2023-01606 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 13e le 13 janvier 2024,29/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_SGZDS_PDF.pdf,True,29/12/2023Arrêté n°2023-01606 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 13e le 13 janvier 2024,7486b4c9,2025-12-08T05:31:05.592227,s3://parisarretes/arretes/2025/2023-01606_7486b4c9.pdf,65.75
2023-01604,"Arrêté n° 2023-01604 du 28 décembre 2023 interdisant le stationnement et la circulation des véhicules dans certaines voies parisiennes, à  l'occasion du passage à l'année 2024 et retirant l’arrêté 2023-01576 du 22 décembre 2023",29/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/ARRETE%202023_01604_28122023.pdf,True,"29/12/2023Arrêté n° 2023-01604 du 28 décembre 2023 interdisant le stationnement et la circulation des véhicules dans certaines voies parisiennes, à  l'occasion du passage à l'année 2024 et retirant l’",3de78faf,2025-12-08T05:31:05.593188,s3://parisarretes/arretes/2025/2023-01604_3de78faf.pdf,76.43
2023-01600,Arrêté n°2023-01600 du 28 décembre 2023 modifiant provisoirement la circulation et le stationnement rue Vivienne à Paris Centre à l’occasion du dévoilement de la plaque en hommage à Kenzo Takada le 16 janvier 2024,28/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2023-01600_28122023.pdf,True,28/12/2023Arrêté n°2023-01600 du 28 décembre 2023 modifiant provisoirement la circulation et le stationnement rue Vivienne à Paris Centre à l’occasion du dévoilement de la plaque en hommage à Kenzo Ta,6b7edc32,2025-12-08T05:31:05.594442,s3://parisarretes/arretes/2025/2023-01600_6b7edc32.pdf,67.14
2023-01592,"Arrêté n°2023-01592 du 28 décembre 2023 modifiant provisoirement le stationnement et la circulation dans plusieurs voies à Paris 16ème et à Boulogne-Billancourt, rencontre de football au Parc des Princes: Trophée des Champions",28/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/ARRETE%20N%C2%B0%202023-01592%20avec%20plan.pdf,True,"28/12/2023Arrêté n°2023-01592 du 28 décembre 2023 modifiant provisoirement le stationnement et la circulation dans plusieurs voies à Paris 16ème et à Boulogne-Billancourt, rencontre de football au Par",b91032e1,2025-12-08T05:31:05.594816,s3://parisarretes/arretes/2025/2023-01592_b91032e1.pdf,2220.21
2023-01576,Arrêté n°2023-01576 interdisant le stationnement et la circulation des véhicules dans certaines voies Parisiennes à l’occasion du passage à l’année 2024,22/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arr%C3%AAt%C3%A9%202023_01576_22122023.pdf,True,22/12/2023Arrêté n°2023-01576 interdisant le stationnement et la circulation des véhicules dans certaines voies Parisiennes à l’occasion du passage à l’année 2024,ed92ab6c,2025-12-08T05:31:05.596409,s3://parisarretes/arretes/2025/2023-01576_ed92ab6c.pdf,74.72
2023-01569,Arrêté n°2023-01569 modifiant provisoirement la circulation rue de Beaujolais à Paris Centre le 9 janvier 2024,21/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2023-01569_21122023.pdf,True,21/12/2023Arrêté n°2023-01569 modifiant provisoirement la circulation rue de Beaujolais à Paris Centre le 9 janvier 2024,de1c5c18,2025-12-08T05:31:05.596746,s3://parisarretes/arretes/2025/2023-01569_de1c5c18.pdf,67.86
2023-01568,Arrêté n°2023-01568 modifiant provisoirement la circulation dans certaines voies à Paris 8ème le 6 janvier 2024,21/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2023-01568_21122023.pdf,True,21/12/2023Arrêté n°2023-01568 modifiant provisoirement la circulation dans certaines voies à Paris 8ème le 6 janvier 2024,459e174f,2025-12-08T05:31:05.596917,s3://parisarretes/arretes/2025/2023-01568_459e174f.pdf,66.08
2023-01551,"Arrêté n°2023-01551 du 15 décembre 2023 modifiant provisoirement la circulation place de la Concorde à Paris 8ème, du 19 décembre 2023 au 28 février 2024",15/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/ARRETE_2023_01551_15122023.pdf,True,"15/12/2023Arrêté n°2023-01551 du 15 décembre 2023 modifiant provisoirement la circulation place de la Concorde à Paris 8ème, du 19 décembre 2023 au 28 février 2024",728801b6,2025-12-08T05:31:05.599605,s3://parisarretes/arretes/2025/2023-01551_728801b6.pdf,61.64
2023-01546,Arrêté n°2023-01546 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 16e et de Boulogne-Billancourt à l'occasion de la rencontre de football entre le Paris Saint-Germain FC et le FC Metz les 20 et 21 décembre 2023,14/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_n_2023-01546_du_14_DEC_2023.pdf,True,14/12/2023Arrêté n°2023-01546 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 16e et de Boulogne-Billancourt à l'occasion de la rencontre de football entre le,f9336454,2025-12-08T05:31:05.600379,s3://parisarretes/arretes/2025/2023-01546_f9336454.pdf,1345.62
2023-01542,Arrêté préfectoral n°2023-01542 du 12 décembre 2023 modifiant provisoirement le stationnement et la circulation les 14 et 15 décembre 2023 rue du Commandant Guilbaud à Paris 16ème à l’occasion de la rencontre de football féminine PSG - AS Rome,12/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2023-01542_12122023%20avec%20plan.pdf,True,12/12/2023Arrêté préfectoral n°2023-01542 du 12 décembre 2023 modifiant provisoirement le stationnement et la circulation les 14 et 15 décembre 2023 rue du Commandant Guilbaud à Paris 16ème à l’occasi,73577fcb,2025-12-08T05:31:05.600752,s3://parisarretes/arretes/2025/2023-01542_73577fcb.pdf,1387.59
2023-01525,Arrêté n°2023-01525 modifiant provisoirement le stationnement et la circulation dans certaines voies à Paris 7ème le 10 décembre 2023,08/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2023-01525_08122023.pdf,True,08/12/2023Arrêté n°2023-01525 modifiant provisoirement le stationnement et la circulation dans certaines voies à Paris 7ème le 10 décembre 2023,44702ea6,2025-12-08T05:31:05.602757,s3://parisarretes/arretes/2025/2023-01525_44702ea6.pdf,65.66
2023-01518,Arrêté n°2023-01518 modifiant provisoirement la circulation dans certaines voies à Paris 9ème les 13 et 14 décembre 2023,08/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2023-01518_0812203.pdf,True,08/12/2023Arrêté n°2023-01518 modifiant provisoirement la circulation dans certaines voies à Paris 9ème les 13 et 14 décembre 2023,fcdf396b,2025-12-08T05:31:05.602932,s3://parisarretes/arretes/2025/2023-01518_fcdf396b.pdf,66.53
2023-01512,"Arrêté n°2023-01512 modifiant provisoirement la circulation place de la Concorde à Paris 8ème, du 8 au 15 décembre 2023",08/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_2023-0152_07122023.pdf,True,"08/12/2023Arrêté n°2023-01512 modifiant provisoirement la circulation place de la Concorde à Paris 8ème, du 8 au 15 décembre 2023",c9d6de96,2025-12-08T05:31:05.603143,s3://parisarretes/arretes/2025/2023-01512_c9d6de96.pdf,67.06
2023-01508,"Arrêté n°2023-01508 modifiant provisoirement  le stationnement et la circulation dans certaines voies de Paris 07ème, à l'occasion de la 1ère édition de la course pédestre ""Les 10 KM de la Tour Eiffel"" le 10 décembre 2023",06/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2023_01508_06122023.pdf,True,"06/12/2023Arrêté n°2023-01508 modifiant provisoirement  le stationnement et la circulation dans certaines voies de Paris 07ème, à l'occasion de la 1ère édition de la course pédestre ""Les 10 KM de la T",a90f5cb4,2025-12-08T05:31:05.604087,s3://parisarretes/arretes/2025/2023-01508_a90f5cb4.pdf,47.77
2023-01466,Arrêté n°2023-01466 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 16ème et de Boulogne-Billancourt à l’occasion de la rencontre de football entre le PSG et le FC Nantes les 9 et 10 décembre 2023,30/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/ARRETE_PSG-FC_NANTES.pdf,True,30/11/2023Arrêté n°2023-01466 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 16ème et de Boulogne-Billancourt à l’occasion de la rencontre de football entre ,4e7d2aac,2025-12-08T05:31:05.610253,s3://parisarretes/arretes/2025/2023-01466_4e7d2aac.pdf,331.42
2023-01447,Arrêté n°2023-01447 modifiant provisoirement la circulation rue Lord Byron à Paris 8ème le 1er décembre 2023,27/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2023-01447_27112023.odc_.pdf,True,27/11/2023Arrêté n°2023-01447 modifiant provisoirement la circulation rue Lord Byron à Paris 8ème le 1er décembre 2023,6bc9f5ef,2025-12-08T05:31:05.612265,s3://parisarretes/arretes/2025/2023-01447_6bc9f5ef.pdf,67.68
2023-01448,Arrêté n°2023-01448 modifiant provisoirement le stationnement et la circulation avenue des Portugais à Paris 16ème du 30 novembre au 1er décembre 2023,27/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/ARRETE_2023-01448_DU_27_NOVEMBRE_2023.pdf,True,27/11/2023Arrêté n°2023-01448 modifiant provisoirement le stationnement et la circulation avenue des Portugais à Paris 16ème du 30 novembre au 1er décembre 2023,4b9d68a4,2025-12-08T05:31:05.612434,s3://parisarretes/arretes/2025/2023-01448_4b9d68a4.pdf,737.76
2023-01436,"Arrêté n°2023-01436 modifiant provisoirement le stationnement et la circulation dans certaines voies du 16ème arrondissement de Paris, à l’occasion de l’organisation de la 26ème édition du Semi-marathon de Boulogne-Billancourt le 26 novembre 2023",24/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/ARRETE_2023-01436.pdf,True,"24/11/2023Arrêté n°2023-01436 modifiant provisoirement le stationnement et la circulation dans certaines voies du 16ème arrondissement de Paris, à l’occasion de l’organisation de la 26ème édition du S",94d4b992,2025-12-08T05:31:05.615131,s3://parisarretes/arretes/2025/2023-01436_94d4b992.pdf,68.83
2023-01425,"Arrêté n° 2023-01425 du 20 novembre 2023 modifiant provisoirement le stationnement et la circulation à l'occasion de la rencontre de football entre le Paris-Saint-Germain Football Club et le Newcastle United Football Club, le 28 novembre 2023",20/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/ARRETE_2023-01425_DU_20_NOVEMBRE_2023.pdf,True,20/11/2023Arrêté n° 2023-01425 du 20 novembre 2023 modifiant provisoirement le stationnement et la circulation à l'occasion de la rencontre de football entre le Paris-Saint-Germain Football Club et le,d0c05d88,2025-12-08T05:31:05.618791,s3://parisarretes/arretes/2025/2023-01425_d0c05d88.pdf,339.31
2023-01426,Arrêté préfectoral n°2023-01426 du 20 novembre 2023 modifiant provisoirement le stationnement et la circulation dans plusieurs voies à Paris 6e à l’occasion de la cérémonie d’hommage à Malik Oussekine le 6 décembre 2023,20/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_2023-01426_20112023.pdf,True,20/11/2023Arrêté préfectoral n°2023-01426 du 20 novembre 2023 modifiant provisoirement le stationnement et la circulation dans plusieurs voies à Paris 6e à l’occasion de la cérémonie d’hommage à Malik,39132f6f,2025-12-08T05:31:05.619195,s3://parisarretes/arretes/2025/2023-01426_39132f6f.pdf,67.23
