numero_arrete,titre,date_publication,lien,pdf_url,is_circulation,contenu_preview,file_hash,date_scrape,pdf_s3_url,poids_pdf_ko
2025-00268,Arrêté n°2025-00268 portant interdiction des regroupements de consommateurs de cocaïne base dans certains secteurs de Paris et de la Seine-Saint-Denis du 3 au 31 mars 2025,01/03/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_ndeg_2025-00268_du_01_mars_2025.pdf,False,01/03/2025Arrêté n°2025-00268 portant interdiction des regroupements de consommateurs de cocaïne base dans certains secteurs de Paris et de la Seine-Saint-Denis du 3 au 31 mars 2025,42031661,2025-12-20T05:28:18.842611,s3://parisarretes/arretes/2025/2025-00268_42031661.pdf,1681.34
2025-00266,"Arrêté 2025-00266 autorisant la captation, l’enregistrement et la transmission d’images au moyen de caméras installées sur des aéronefs à l’occasion d’une manifestation à Paris le 1er mars 2025",28/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00266_28022025.pdf,False,"28/02/2025Arrêté 2025-00266 autorisant la captation, l’enregistrement et la transmission d’images au moyen de caméras installées sur des aéronefs à l’occasion d’une manifestation à Paris le 1er mars 2",2ed2f624,2025-12-20T05:28:18.842785,s3://parisarretes/arretes/2025/2025-00266_2ed2f624.pdf,552.41
2025-00265,"Arrêté préfectoral n°2025-00265 du 28 février 2025 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris à l'occasion de la course pédestre ""Harmonie Mutuelle Semi de Paris"", le 9 mars 2025",28/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_2025-00265_28022025.pdf,True,"28/02/2025Arrêté préfectoral n°2025-00265 du 28 février 2025 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris à l'occasion de la course pédestre ""Harmonie Mutu",233d6297,2025-12-20T05:28:18.843147,s3://parisarretes/arretes/2025/2025-00265_233d6297.pdf,1511.66
2025-00262,Arrêté n°2025-00262 portant interdiction totale d’une manifestation déclarée à Paris du lundi 3 mars 2025 au jeudi 6 mars 2025 inclus,28/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00262_28022025.pdf,False,28/02/2025Arrêté n°2025-00262 portant interdiction totale d’une manifestation déclarée à Paris du lundi 3 mars 2025 au jeudi 6 mars 2025 inclus,de50bb6c,2025-12-20T05:28:18.843346,s3://parisarretes/arretes/2025/2025-00262_de50bb6c.pdf,503.3
2025-00261,Arrêté 2025-00261 portant interdiction de la représentation de M. Dieudonné M’BALA M’BALA le 28 février et 1er mars,27/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_interdiction_spectacle_dieudonne_28_fev_1er_mars_export.pdf,False,27/02/2025Arrêté 2025-00261 portant interdiction de la représentation de M. Dieudonné M’BALA M’BALA le 28 février et 1er mars,5985104a,2025-12-20T05:28:18.843514,s3://parisarretes/arretes/2025/2025-00261_5985104a.pdf,1886.8
2025-00259,Arrêté n°2025-00259 portant encadrement du déplacement de supporters et instaurant un périmètre comportant certaines mesures de police à l’occasion de la rencontre de football de Ligue 1 du samedi 1er mars 2025 entre les équipes du Paris Saint-Germain...,27/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00259_27022025.pdf,False,27/02/2025Arrêté n°2025-00259 portant encadrement du déplacement de supporters et instaurant un périmètre comportant certaines mesures de police à l’occasion de la rencontre de football de Ligue 1 du ,02115168,2025-12-20T05:28:18.843892,s3://parisarretes/arretes/2025/2025-00259_02115168.pdf,699.37
2025-00260,Arrêté n°2025-00260 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 16ème et de Boulogne-Billancourt à l’occasion de la rencontre de football entre  le Paris Saint-Germain Football Club et le Liverpool ...,27/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_n_2025-00260_psg-liverpool_sc.pdf,True,27/02/2025Arrêté n°2025-00260 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 16ème et de Boulogne-Billancourt à l’occasion de la rencontre de football entre ,1083624b,2025-12-20T05:28:18.844292,s3://parisarretes/arretes/2025/2025-00260_1083624b.pdf,2895.64
2025-00255,"Arrêté n°2025-00255 modifiant provisoirement la circulation rue de la Manutention à Paris 16ème dans le cadre du tournage de la série TV THE BEAUTY, le 13 mars 2025",27/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_n_2025_00255_du_26_fev_2025_sc.pdf,True,"27/02/2025Arrêté n°2025-00255 modifiant provisoirement la circulation rue de la Manutention à Paris 16ème dans le cadre du tournage de la série TV THE BEAUTY, le 13 mars 2025",a961b37a,2025-12-20T05:28:18.844475,s3://parisarretes/arretes/2025/2025-00255_a961b37a.pdf,835.85
2025-0181,Arrêté DUPA n°2025-0181 portant autorisation de l’emploi d’un traitement algorithmique sur des images issues d’un système de vidéoprotection à l’occasion du match de la 24ème journée de la Ligue 1 de football prévu le samedi 1er mars 2025,27/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_dupa_n_2025_0181_dilt_match_ligue_1_psg_lille_ss.pdf,False,27/02/2025Arrêté DUPA n°2025-0181 portant autorisation de l’emploi d’un traitement algorithmique sur des images issues d’un système de vidéoprotection à l’occasion du match de la 24ème journée de la L,fe649d64,2025-12-20T05:28:18.844836,s3://parisarretes/arretes/2025/2025-0181_fe649d64.pdf,1840.11
2025-00258,Arrêté n°2025-00258 portant interdiction des distributions alimentaires sur la place Henri Frenay à Paris du 3 au 31 mars 2025,27/02/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_00258_27022025.pdf,False,27/02/2025Arrêté n°2025-00258 portant interdiction des distributions alimentaires sur la place Henri Frenay à Paris du 3 au 31 mars 2025,e9d8dc1e,2025-12-20T05:28:18.845014,s3://parisarretes/arretes/2025/2025-00258_e9d8dc1e.pdf,589.15
